Nachbarschaft,Qualitaet,Zustand,Baujahr,Wohnflaeche,Zimmer,Kamine,Verkaufsjahr,Preis
NridgHt,9,5,2004,1980,8,1,2006,315000
NridgHt,8,5,2004,1618,6,1,2006,252000
NridgHt,9,5,2004,1850,8,1,2006,326000
NridgHt,8,5,2004,2452,9,1,2006,309000
NridgHt,9,5,2004,1780,7,1,2006,378000
NridgHt,8,5,2004,1914,9,1,2006,279000
Gilbert,8,5,2004,2373,9,1,2006,258000
Blmngtn,7,5,2004,1414,6,1,2006,178740
Blmngtn,7,5,2004,1548,7,1,2006,225000
Gilbert,8,5,2004,1414,6,1,2006,178000
Gilbert,7,5,2004,1598,7,1,2006,201490
SawyerW,6,5,2004,1158,5,0,2006,158000
Somerst,7,5,2004,1143,5,1,2006,176400
SWISU,7,5,2004,1073,4,0,2006,157000
CollgCr,7,5,2004,1836,8,1,2006,216837
CollgCr,6,5,2004,848,3,1,2006,155900
CollgCr,7,5,2004,1948,8,1,2006,195000
CollgCr,7,5,2004,1720,7,0,2006,196500
Edwards,7,5,2004,1709,7,0,2006,134000
Edwards,7,5,2004,1709,7,0,2006,130000
Edwards,6,5,2004,1709,7,0,2006,130000
Edwards,7,5,2004,1709,7,0,2006,137500
Edwards,7,5,2004,1708,7,0,2006,130000
Crawfor,8,5,2004,1646,5,1,2006,300000
StoneBr,8,5,2003,3279,12,1,2010,538000
NridgHt,9,5,2003,2696,10,2,2010,500000
NridgHt,7,5,2003,1626,6,0,2010,175500
Somerst,7,5,2003,1080,4,0,2010,147110
NAmes,7,5,2003,1480,7,0,2010,214000
CollgCr,8,5,2003,1978,8,1,2010,318000
CollgCr,7,6,2003,1829,7,1,2010,237000
CollgCr,6,5,2003,848,4,0,2010,143750
CollgCr,8,5,2003,1668,8,1,2010,232000
Edwards,4,5,2003,1121,5,0,2010,140000
Mitchel,7,5,2003,1560,7,0,2010,201000
Gilbert,8,5,2003,2283,9,1,2009,270000
Somerst,7,5,2003,1884,7,1,2009,240900
NridgHt,8,5,2003,1629,7,1,2009,284000
NridgHt,7,5,2003,1760,8,1,2009,269500
NridgHt,10,5,2003,2392,8,1,2009,386250
NridgHt,9,5,2003,2452,10,1,2009,445000
NridgHt,8,5,2003,2400,10,1,2009,290000
NridgHt,8,5,2003,2200,8,1,2009,382500
NridgHt,7,5,2003,1405,6,1,2009,173000
NridgHt,7,5,2003,1626,6,0,2009,173000
Gilbert,7,5,2003,1489,8,1,2009,192000
Gilbert,7,5,2003,1342,7,1,2009,178000
Somerst,7,5,2003,2094,8,1,2009,263000
Somerst,7,5,2003,1553,6,0,2009,234500
Somerst,7,5,2003,1653,6,0,2009,209000
SawyerW,7,5,2003,1200,5,0,2009,184900
SawyerW,5,5,2003,1114,6,0,2009,153000
CollgCr,8,5,2003,2184,8,1,2009,254750
CollgCr,6,5,2003,848,4,0,2009,144000
CollgCr,6,5,2003,848,4,0,2009,140000
Edwards,7,5,2003,1922,7,1,2009,198500
Mitchel,7,5,2003,2149,6,1,2009,239686
Timber,7,5,2003,2014,9,0,2009,170000
NridgHt,10,5,2003,2470,7,2,2008,615000
NridgHt,9,5,2003,2668,10,2,2008,412500
NridgHt,7,5,2003,2046,8,1,2008,284000
NridgHt,8,5,2003,1575,7,1,2008,284000
NridgHt,8,5,2003,2690,9,1,2008,370000
NridgHt,8,5,2003,1518,6,1,2008,274000
NridgHt,7,5,2003,1626,6,0,2008,155000
NridgHt,7,5,2003,1626,6,0,2008,154000
Blmngtn,7,5,2003,1455,6,1,2008,195000
Gilbert,7,5,2003,1986,9,1,2008,213000
Somerst,8,5,2003,1992,9,1,2008,250000
Somerst,6,5,2003,1728,7,0,2008,207500
SawyerW,6,5,2003,1696,7,0,2008,188000
SawyerW,7,5,2003,1663,8,0,2008,192500
SawyerW,6,5,2003,1114,6,0,2008,155000
OldTown,7,5,2003,2082,6,0,2008,200000
CollgCr,7,5,2003,1768,8,0,2008,224900
CollgCr,7,5,2003,2327,9,1,2008,240000
CollgCr,7,5,2003,1640,6,0,2008,183000
CollgCr,6,5,2003,848,3,0,2008,136500
CollgCr,7,5,2003,1710,8,0,2008,208500
Edwards,7,5,2003,1656,7,1,2008,165400
Timber,8,5,2003,1440,7,1,2008,232500
Timber,8,5,2003,2262,10,2,2008,305000
Gilbert,7,5,2003,1733,7,1,2007,225000
NridgHt,8,5,2003,2385,7,1,2007,350000
NridgHt,8,5,2003,2374,10,1,2007,285000
NridgHt,7,5,2003,1405,6,1,2007,200000
Blmngtn,8,5,2003,1589,7,1,2007,226500
Gilbert,7,5,2003,1394,7,1,2007,165500
Gilbert,7,5,2003,1948,8,1,2007,211000
Gilbert,7,5,2003,1320,6,0,2007,162000
SawyerW,5,5,2003,1094,6,0,2007,149000
Somerst,8,5,2003,2048,8,2,2007,301000
CollgCr,7,5,2003,1479,7,0,2007,226000
CollgCr,7,5,2003,1668,8,0,2007,180000
CollgCr,7,5,2003,1932,7,1,2007,213000
CollgCr,6,5,2003,848,3,0,2007,131500
CollgCr,7,5,2003,1928,8,1,2007,219500
CollgCr,7,5,2003,1337,6,0,2007,185000
Timber,7,5,2003,1146,6,1,2007,187500
Timber,7,5,2003,2486,10,1,2007,279900
NridgHt,9,5,2003,1944,8,3,2006,360000
NridgHt,9,5,2003,1792,6,1,2006,374000
NridgHt,7,5,2003,1405,6,1,2006,171750
Blmngtn,7,5,2003,1557,7,1,2006,234000
Blmngtn,8,5,2003,1456,7,1,2006,215000
Gilbert,7,5,2003,1509,8,1,2006,180000
Somerst,7,5,2003,1080,4,0,2006,139000
CollgCr,6,5,2003,848,4,0,2006,133000
CollgCr,7,5,2003,1390,7,0,2006,207000
CollgCr,6,5,2003,1700,7,0,2006,200000
Edwards,7,5,2003,1724,8,1,2006,196500
Edwards,7,5,2003,2314,9,1,2006,229000
NridgHt,8,5,2002,2250,7,1,2010,320000
Gilbert,6,5,2002,1960,8,2,2010,216500
Somerst,7,5,2002,1492,6,1,2010,230000
Timber,7,5,2002,1894,8,1,2010,214900
Timber,8,5,2002,1908,9,0,2010,202900
Somerst,8,5,2002,1811,7,1,2009,235000
NridgHt,8,5,2002,1712,8,1,2009,286500
Gilbert,6,5,2002,2267,8,1,2009,200000
Gilbert,8,5,2002,1419,7,1,2009,184100
Gilbert,8,5,2002,2004,8,1,2009,257500
CollgCr,7,5,2002,1660,7,0,2009,195000
CollgCr,7,5,2002,1573,6,0,2009,227000
CollgCr,7,5,2002,1444,6,0,2009,203000
CollgCr,7,5,2002,1611,6,0,2009,250000
CollgCr,7,5,2002,1725,6,0,2009,198500
CollgCr,8,5,2002,1828,7,1,2009,279500
Gilbert,7,5,2002,1720,7,1,2008,188000
Gilbert,7,5,2002,1414,6,1,2008,176000
Somerst,7,5,2002,1812,7,1,2008,205000
CollgCr,7,5,2002,1494,6,1,2008,221000
CollgCr,8,5,2002,1795,7,1,2008,230000
CollgCr,8,5,2002,2031,7,1,2008,237000
CollgCr,8,5,2002,1786,6,1,2008,300000
CollgCr,8,5,2002,2290,9,1,2008,255900
CollgCr,7,5,2002,1536,7,0,2008,214000
Mitchel,8,5,2002,1689,7,2,2008,271000
Gilbert,7,5,2002,1995,8,1,2007,219500
CollgCr,8,5,2002,2169,7,1,2007,228500
CollgCr,7,5,2002,1459,6,1,2007,192000
CollgCr,7,5,2002,1729,7,0,2007,200000
CollgCr,9,5,2002,1668,7,1,2007,285000
Mitchel,5,5,2002,1392,6,1,2007,215000
Mitchel,7,5,2002,1409,4,1,2007,245000
Timber,8,5,2002,1922,6,1,2007,282000
Timber,8,5,2002,1629,9,1,2007,270000
NAmes,6,5,2002,1419,4,0,2006,190000
Blmngtn,7,5,2002,1511,5,1,2006,246990
Gilbert,6,5,2002,1509,7,1,2006,183200
CollgCr,7,5,2002,1861,8,0,2006,200000
CollgCr,7,5,2002,1776,7,1,2006,192500
CollgCr,8,5,2002,1989,7,1,2006,255000
CollgCr,7,5,2002,1762,6,0,2006,222000
CollgCr,8,5,2002,1358,5,1,2006,220000
CollgCr,7,5,2002,1909,8,0,2006,197000
CollgCr,7,5,2002,1654,6,0,2006,230000
Edwards,6,5,2002,914,4,0,2006,117250
Timber,8,5,2002,1800,7,1,2006,312500
StoneBr,8,5,2001,1338,6,0,2010,213500
Gilbert,7,5,2001,2035,8,1,2010,222500
CollgCr,8,5,2001,1601,6,1,2010,272000
SawyerW,7,5,2001,1434,6,1,2009,189000
NWAmes,8,6,2001,1665,6,0,2009,227000
CollgCr,7,5,2001,1840,6,0,2009,230000
CollgCr,7,5,2001,1430,6,0,2009,187100
CollgCr,7,5,2001,1492,6,1,2009,201000
CollgCr,8,5,2001,1788,7,1,2009,236500
CollgCr,8,5,2001,1872,7,1,2009,261500
CollgCr,7,5,2001,1870,6,0,2009,211000
CollgCr,7,5,2001,1212,6,0,2009,178000
Mitchel,6,5,2001,1961,7,1,2009,215000
Timber,8,5,2001,1296,6,0,2009,220000
StoneBr,8,5,2001,1593,5,1,2008,286000
NridgHt,8,5,2001,2649,10,1,2008,421250
SawyerW,6,5,2001,1677,7,0,2008,190500
Somerst,9,5,2001,1310,5,1,2008,285000
Somerst,9,5,2001,1419,5,1,2008,290000
Somerst,7,5,2001,1789,7,1,2008,223000
CollgCr,7,5,2001,1792,7,1,2008,231500
CollgCr,7,5,2001,1786,6,1,2008,223500
CollgCr,7,5,2001,2161,8,1,2008,230500
CollgCr,8,5,2001,2263,7,1,2008,287000
CollgCr,9,5,2001,1947,7,1,2008,274000
NAmes,6,5,2001,1337,5,1,2007,155000
NoRidge,10,5,2001,2633,8,2,2007,466500
Somerst,7,5,2001,1929,7,1,2007,226000
CollgCr,7,5,2001,1690,7,0,2007,190550
CollgCr,8,5,2001,2439,7,1,2007,275000
Timber,8,5,2001,1312,5,0,2007,180500
Somerst,8,5,2001,1568,6,1,2006,221000
CollgCr,7,5,2001,1541,6,1,2006,205000
CollgCr,8,5,2001,1787,7,1,2006,275000
Mitchel,8,5,2001,1491,7,0,2006,209000
Somerst,7,5,2000,1674,7,0,2010,216000
Gilbert,7,5,2000,1430,7,1,2010,180000
Somerst,6,5,2000,1573,5,0,2010,177500
Somerst,6,5,2000,1512,5,0,2010,177000
Somerst,8,5,2000,1848,7,1,2010,254000
StoneBr,8,5,2000,1659,5,1,2009,278000
Somerst,8,5,2000,1874,7,1,2009,220000
Gilbert,7,5,2000,2256,8,1,2009,236000
Gilbert,6,5,2000,2054,7,1,2009,244000
Gilbert,6,5,2000,1800,7,1,2009,179000
Gilbert,6,5,2000,1514,7,1,2009,190000
NoRidge,8,5,2000,2687,10,2,2009,327000
Somerst,6,5,2000,1512,4,0,2009,180000
SawyerW,7,5,2000,2787,8,2,2009,269500
SawyerW,7,5,2000,2787,8,2,2009,269500
SawyerW,7,5,2000,2787,8,2,2009,269500
CollgCr,9,5,2000,2153,8,2,2009,313000
CollgCr,7,5,2000,1630,6,1,2009,213000
Mitchel,8,5,2000,2052,7,1,2009,251000
Gilbert,6,5,2000,1792,8,1,2008,186500
Gilbert,7,5,2000,1892,8,1,2008,226750
NoRidge,8,5,2000,2198,9,1,2008,250000
NoRidge,9,5,2000,2172,8,1,2008,291000
Somerst,9,5,2000,1638,5,1,2008,300000
CollgCr,7,5,2000,1652,6,0,2008,207500
CollgCr,7,5,2000,1823,6,0,2008,235000
CollgCr,7,5,2000,1865,7,1,2008,235000
StoneBr,8,5,2000,1652,6,0,2007,251000
Gilbert,6,5,2000,1690,7,1,2007,181000
Gilbert,7,5,2000,1430,8,1,2007,170000
Gilbert,6,5,2000,1690,7,1,2007,187000
NoRidge,8,5,2000,2285,8,1,2007,248000
SawyerW,7,5,2000,1349,6,0,2007,179000
Somerst,6,5,2000,1512,4,1,2007,168500
Somerst,6,5,2000,1573,4,0,2007,177000
Somerst,6,5,2000,1525,5,1,2007,177000
CollgCr,7,5,2000,1842,7,1,2007,217500
CollgCr,7,5,2000,1673,7,1,2007,270000
Gilbert,8,5,2000,1936,7,1,2006,230500
Gilbert,6,5,2000,1664,7,1,2006,172400
Gilbert,6,5,2000,1889,9,1,2006,215000
Gilbert,6,5,2000,1671,7,1,2006,173000
NoRidge,8,5,2000,2234,7,1,2006,300000
NoRidge,9,5,2000,2855,9,1,2006,405000
Somerst,6,5,2000,1524,4,0,2006,166000
Somerst,7,5,2000,1382,6,0,2006,165000
CollgCr,7,5,2000,1525,6,0,2006,235000
Timber,6,5,2000,1403,5,0,2006,202000
Gilbert,7,5,1999,1804,7,1,2010,189000
NAmes,7,5,1999,1337,5,1,2010,184000
NoRidge,9,5,1999,2599,10,1,2010,333168
NoRidge,8,7,1999,2270,9,1,2010,290000
Somerst,7,5,1999,1416,6,0,2010,155000
Mitchel,5,5,1999,1344,7,1,2010,166500
Gilbert,7,5,1999,1983,9,1,2009,225000
Gilbert,7,5,1999,1430,7,1,2009,156000
Gilbert,7,5,1999,2312,8,1,2009,245000
Gilbert,6,5,1999,1675,7,1,2009,181000
Gilbert,7,5,1999,2060,8,1,2009,214000
Gilbert,7,6,1999,1430,7,1,2009,168000
NoRidge,8,5,1999,2365,8,1,2009,337000
Somerst,6,5,1999,1471,6,0,2009,172500
Somerst,7,5,1999,1452,6,0,2009,156000
Somerst,8,5,1999,1739,7,0,2009,172500
CollgCr,7,5,1999,1501,6,0,2009,204000
CollgCr,7,5,1999,1431,6,0,2009,192000
CollgCr,8,5,1999,1513,5,1,2009,220000
Mitchel,6,5,1999,1224,5,0,2009,165000
Gilbert,7,5,1999,2322,8,1,2008,225000
Gilbert,7,5,1999,1651,7,1,2008,185900
Somerst,7,5,1999,1501,6,0,2008,179400
Somerst,6,5,1999,1549,6,0,2008,172900
Somerst,9,5,1999,1557,5,1,2008,305000
Somerst,9,5,1999,1709,5,1,2008,328900
Somerst,7,5,1999,1252,4,0,2008,160000
Somerst,7,5,1999,1404,5,0,2008,170000
Somerst,8,5,1999,1586,7,0,2008,170000
Somerst,8,5,1999,1607,7,0,2008,200000
CollgCr,7,5,1999,1790,7,0,2008,193000
CollgCr,7,5,1999,1479,6,0,2008,191000
CollgCr,8,5,1999,1852,7,2,2008,230000
CollgCr,8,5,1999,1764,7,1,2008,207000
Timber,6,5,1999,1675,6,0,2008,195000
Gilbert,6,5,1999,1714,7,1,2007,180000
Gilbert,6,5,1999,2299,7,1,2007,204000
Gilbert,6,5,1999,1647,7,1,2007,175000
Gilbert,6,5,1999,1644,7,1,2007,185000
Somerst,6,5,1999,1501,6,1,2007,176500
Somerst,6,5,1999,1458,5,1,2007,176000
Somerst,8,5,1999,1441,5,0,2007,174000
Somerst,7,5,1999,1358,5,0,2007,204000
CollgCr,7,5,1999,1873,7,1,2007,235500
CollgCr,8,5,1999,1341,5,1,2007,246900
Gilbert,7,5,1999,2291,8,1,2006,230000
Somerst,7,5,1999,1452,6,0,2006,183900
CollgCr,7,5,1999,1588,6,0,2006,214000
CollgCr,7,5,1999,1749,7,0,2006,196000
CollgCr,7,5,1999,1779,7,1,2006,217000
CollgCr,6,5,1999,1755,7,1,2006,214000
CollgCr,8,5,1999,2214,8,1,2006,268500
Gilbert,6,6,1998,1604,7,1,2010,195500
Gilbert,6,5,1998,1465,7,1,2010,180400
NoRidge,8,5,1998,2475,7,1,2010,355000
NoRidge,7,5,1998,1839,7,0,2010,221000
CollgCr,6,5,1998,1682,7,0,2010,200500
CollgCr,7,5,1998,1661,6,0,2010,224900
Mitchel,8,5,1998,1916,8,1,2010,254900
StoneBr,8,5,1998,1478,5,0,2009,240000
Gilbert,7,5,1998,1382,7,1,2009,177500
Gilbert,7,5,1998,1718,7,1,2009,185000
Gilbert,6,5,1998,1636,7,1,2009,191000
NoRidge,8,5,1998,2450,7,1,2009,340000
NoRidge,8,5,1998,2612,8,1,2009,336000
NWAmes,7,5,1998,1680,7,1,2009,213250
CollgCr,7,5,1998,1463,5,0,2009,207000
CollgCr,7,5,1998,1779,6,0,2009,197900
CollgCr,6,5,1998,1772,7,1,2009,200000
Mitchel,6,5,1998,1204,5,0,2009,162000
Gilbert,6,5,1998,1604,7,0,2008,195500
Gilbert,6,5,1998,1638,7,2,2008,192000
Gilbert,6,5,1998,1633,7,1,2008,183000
NAmes,6,5,1998,1337,5,0,2008,181000
NoRidge,8,5,1998,2630,8,1,2008,315000
NoRidge,8,5,1998,2006,5,1,2008,350000
Somerst,10,5,1998,2393,7,1,2008,345000
CollgCr,7,5,1998,1724,8,0,2008,188000
CollgCr,7,5,1998,2031,8,1,2008,222500
NAmes,7,5,1998,767,4,0,2007,133000
NoRidge,9,5,1998,3078,9,1,2007,410000
NoRidge,8,5,1998,2582,9,1,2007,322500
NoRidge,7,5,1998,2385,8,1,2007,252000
SawyerW,7,5,1998,1494,5,1,2007,215000
Somerst,8,5,1998,2362,8,2,2007,312500
CollgCr,6,5,1998,1796,7,0,2007,211000
CollgCr,7,5,1998,1753,7,1,2007,217000
CollgCr,8,5,1998,2452,9,1,2007,267000
GrnHill,7,5,1998,1502,5,1,2007,330000
Gilbert,7,5,1998,1632,8,1,2006,176500
Gilbert,7,5,1998,1886,10,1,2006,199900
NoRidge,8,5,1998,1976,7,1,2006,286000
NoRidge,8,5,1998,1924,7,1,2006,280000
NoRidge,8,5,1998,2263,10,1,2006,258000
CollgCr,7,5,1998,1425,5,0,2006,193000
CollgCr,7,5,1998,1939,8,1,2006,227000
CollgCr,7,6,1998,2097,8,1,2006,274300
Mitchel,6,5,1998,1216,5,0,2006,164000
Mitchel,6,5,1998,1337,5,0,2006,153500
Gilbert,5,5,1997,1629,6,1,2010,189900
CollgCr,7,5,1997,1692,8,1,2010,191000
CollgCr,7,5,1997,2098,9,1,2010,240000
Gilbert,6,5,1997,1608,7,1,2009,189500
CollgCr,6,5,1997,1764,7,0,2009,231500
CollgCr,7,5,1997,1417,7,1,2009,210000
CollgCr,7,5,1997,2034,8,0,2009,219500
Gilbert,6,5,1997,1604,7,1,2008,187500
StoneBr,8,5,1997,1682,6,1,2008,247900
Gilbert,6,5,1997,1604,7,1,2008,181000
NoRidge,8,5,1997,2199,9,1,2008,284500
ClearCr,6,5,1997,1688,8,0,2008,200000
CollgCr,7,5,1997,1418,5,1,2008,226001
CollgCr,6,5,1997,1771,6,0,2008,215700
CollgCr,6,5,1997,1493,7,1,2008,208900
CollgCr,6,5,1997,1838,8,0,2008,185000
Mitchel,7,5,1997,1344,8,0,2008,209200
Mitchel,7,5,1997,1344,8,0,2008,206300
Mitchel,6,5,1997,1189,4,0,2008,160500
Gilbert,6,6,1997,1470,6,0,2007,177000
Gilbert,6,5,1997,1600,7,1,2007,169000
Gilbert,6,5,1997,1384,7,1,2007,161500
NAmes,6,5,1997,1337,5,1,2007,177000
NoRidge,8,5,1997,2551,8,2,2007,384500
Somerst,7,5,1997,1950,7,1,2007,239000
CollgCr,6,6,1997,1308,6,0,2007,175000
CollgCr,6,5,1997,1786,7,0,2007,204750
Gilbert,6,5,1997,1525,6,1,2006,183500
Gilbert,7,5,1997,2236,8,1,2006,222000
Gilbert,6,5,1997,1511,8,1,2006,185000
NoRidge,8,5,1997,2392,7,1,2006,348000
SawyerW,6,5,1997,1837,7,0,2006,187000
Somerst,7,5,1997,1694,6,1,2006,200000
CollgCr,6,5,1997,1494,6,0,2006,217000
Mitchel,7,5,1997,1368,8,0,2006,215000
NoRidge,7,5,1996,1720,7,1,2010,260400
ClearCr,7,5,1996,2260,7,0,2010,328000
CollgCr,5,5,1996,965,4,0,2010,159000
Gilbert,7,5,1996,1628,7,1,2009,189000
NoRidge,7,5,1996,2344,7,1,2009,265000
SawyerW,7,5,1996,2122,8,1,2009,220000
CollgCr,5,5,1996,1040,6,0,2009,152000
CollgCr,7,6,1996,1661,6,1,2009,212000
CollgCr,7,5,1996,1504,6,1,2009,203000
CollgCr,7,5,1996,1716,7,1,2009,191000
Gilbert,6,5,1996,1636,7,1,2008,173000
Gilbert,5,5,1996,1384,7,0,2008,177900
Gilbert,7,5,1996,1446,6,1,2008,175000
NWAmes,8,5,1996,2340,9,1,2008,306000
NoRidge,7,5,1996,2125,12,2,2008,279500
Veenker,8,5,1996,1288,4,2,2008,245500
ClearCr,6,5,1996,1291,6,1,2008,173000
SawyerW,7,5,1996,2037,8,1,2008,229000
Mitchel,7,5,1996,2032,7,0,2008,300000
Mitchel,7,5,1996,1820,8,1,2008,213000
Gilbert,7,5,1996,1553,6,0,2007,178750
NoRidge,10,5,1996,4476,10,2,2007,745000
NoRidge,7,5,1996,2013,8,1,2007,269790
NoRidge,7,5,1996,2398,8,1,2007,315750
NoRidge,8,5,1996,2538,8,1,2007,330000
CollgCr,5,5,1996,1097,6,0,2007,147900
CollgCr,7,5,1996,1992,7,2,2007,211000
Timber,6,5,1996,1756,7,0,2007,204000
Timber,6,5,1996,1491,7,1,2007,178000
Mitchel,6,5,1996,936,3,0,2007,140000
Gilbert,6,5,1996,1776,7,1,2006,202000
CollgCr,5,5,1996,914,5,0,2006,148000
CollgCr,5,6,1996,1100,5,0,2006,145000
CollgCr,7,5,1996,2049,9,1,2006,210900
StoneBr,8,5,1995,1616,5,1,2010,236500
NoRidge,8,5,1995,3238,9,1,2010,410000
Gilbert,7,5,1995,1474,7,1,2009,168500
StoneBr,8,5,1995,1734,6,0,2009,239500
NoRidge,8,5,1995,2794,9,1,2009,403000
NoRidge,7,5,1995,2061,7,1,2009,260000
SawyerW,8,5,1995,2020,8,1,2009,239500
Gilbert,6,5,1995,1470,7,1,2008,165000
Gilbert,6,5,1995,1658,8,1,2008,188000
NoRidge,8,7,1995,2501,9,1,2008,290000
NoRidge,8,6,1995,2113,7,1,2008,350000
SawyerW,6,5,1995,1609,6,0,2008,182000
Veenker,8,5,1995,1239,4,1,2008,217500
SawyerW,6,5,1995,2814,9,1,2008,260000
SawyerW,8,5,1995,1511,6,1,2008,225000
CollgCr,5,6,1995,1099,6,0,2008,144000
Gilbert,6,5,1995,1572,7,1,2007,168000
Gilbert,7,5,1995,1253,6,1,2007,176000
NoRidge,7,5,1995,2520,9,1,2007,290000
NoRidge,8,5,1995,2531,9,1,2007,290000
CollgCr,6,5,1995,1200,6,0,2007,177500
CollgCr,8,5,1995,2090,8,1,2007,240000
Crawfor,4,5,1995,1680,7,0,2007,170000
Gilbert,6,5,1995,1671,7,1,2006,170000
Gilbert,6,5,1995,1498,6,1,2006,187500
NoRidge,10,5,1995,3627,10,1,2006,625000
NoRidge,8,5,1995,2726,9,1,2006,350000
Veenker,8,5,1995,1494,6,1,2006,270000
CollgCr,6,5,1995,1499,6,1,2006,187000
CollgCr,5,5,1995,990,5,0,2006,156000
CollgCr,7,5,1995,1995,8,1,2006,237000
NoRidge,8,5,1994,2622,9,2,2010,325000
SawyerW,7,5,1994,2110,8,2,2010,205000
Crawfor,7,6,1994,1652,6,0,2010,203135
Mitchel,8,5,1994,1803,6,2,2010,285000
Gilbert,6,5,1994,1516,7,1,2009,181316
Gilbert,6,5,1994,1481,6,1,2009,174000
NoRidge,8,5,1994,2063,7,2,2009,315000
NoRidge,8,7,1994,2448,8,1,2009,402000
NoRidge,7,6,1994,1850,7,1,2009,248000
SawyerW,7,5,1994,1540,6,0,2009,184000
CollgCr,5,7,1994,990,5,0,2009,143000
CollgCr,5,5,1994,1097,6,0,2009,145000
CollgCr,5,5,1994,990,5,0,2009,138000
Gilbert,7,5,1994,1895,7,1,2008,194500
NoRidge,7,5,1994,2127,5,2,2008,271000
NoRidge,8,5,1994,1987,7,1,2008,301500
SawyerW,6,5,1994,1679,7,1,2008,193500
SawyerW,7,5,1994,1657,6,0,2008,189000
SawyerW,7,5,1994,1626,7,1,2008,226500
CollgCr,5,7,1994,990,5,0,2008,155000
CollgCr,5,5,1994,990,5,0,2008,145000
CollgCr,7,5,1994,1908,8,1,2008,210000
Gilbert,6,5,1994,1694,7,1,2007,160000
NoRidge,10,6,1994,4316,10,2,2007,755000
SawyerW,6,5,1994,1721,7,0,2007,201000
Veenker,8,5,1994,1494,5,1,2007,279700
SawyerW,7,5,1994,1958,7,1,2007,220000
CollgCr,5,5,1994,1022,6,0,2007,139500
CollgCr,5,5,1994,990,5,0,2007,126000
CollgCr,5,7,1994,990,5,0,2007,146000
CollgCr,4,5,1994,990,5,0,2007,123600
CollgCr,8,5,1994,1592,7,1,2007,228000
StoneBr,8,5,1994,2687,9,0,2006,270000
NoRidge,8,5,1994,2494,9,1,2006,321000
NoRidge,8,5,1994,2526,8,1,2006,290000
SawyerW,6,5,1994,1320,6,0,2006,150000
NoRidge,8,5,1994,1624,5,1,2006,262000
Gilbert,6,5,1993,1655,7,1,2010,175900
SawyerW,7,7,1993,1744,7,0,2010,194500
NoRidge,8,5,1993,2349,9,1,2010,362500
NWAmes,6,5,1993,2495,9,1,2010,243500
SawyerW,6,7,1993,1802,8,1,2010,218000
SawyerW,7,5,1993,1949,8,1,2010,236000
Mitchel,6,5,1993,1797,7,1,2010,231000
Gilbert,6,7,1993,1571,7,1,2009,178000
Gilbert,6,8,1993,1470,6,1,2009,185000
Gilbert,6,5,1993,1190,6,1,2009,166000
NoRidge,7,5,1993,2646,9,1,2009,260000
NoRidge,8,5,1993,2232,8,1,2009,263550
SawyerW,7,5,1993,1775,7,1,2009,213000
SawyerW,7,5,1993,1879,8,1,2009,239900
Mitchel,6,5,1993,1091,5,0,2009,131250
Mitchel,5,5,1993,1362,5,0,2009,143000
StoneBr,8,5,1993,1337,5,1,2008,180000
NoRidge,7,5,1993,2418,9,1,2008,341000
NoRidge,7,5,1993,2197,9,1,2008,287500
SawyerW,6,5,1993,1680,7,0,2008,163000
SawyerW,6,5,1993,1710,7,0,2008,187000
SawyerW,6,5,1993,1617,5,1,2008,193000
SawyerW,6,5,1993,1199,5,0,2008,153900
NoRidge,9,5,1993,2786,10,1,2008,372500
Veenker,8,5,1993,1719,6,2,2008,324000
SawyerW,7,5,1993,2200,9,1,2008,225000
SawyerW,7,5,1993,2097,9,1,2008,228000
Gilbert,6,5,1993,1642,7,1,2007,168000
SawyerW,6,5,1993,1820,7,0,2007,191750
NWAmes,7,6,1993,1594,6,1,2007,188500
NWAmes,7,6,1993,2075,8,1,2007,255000
Gilbert,6,6,1993,1169,6,1,2006,183500
Gilbert,6,5,1993,1501,6,1,2006,165600
NoRidge,9,5,1993,3500,11,1,2006,584500
NoRidge,8,5,1993,2799,8,1,2006,315000
NoRidge,8,7,1993,2520,10,1,2006,310000
SawyerW,8,5,1993,1911,8,1,2006,215000
SawyerW,6,8,1993,1440,8,0,2006,224500
Landmrk,6,5,1993,1320,5,0,2006,137000
Mitchel,7,5,1993,2000,9,1,2006,188000
StoneBr,8,5,1992,1280,5,0,2010,191500
Gilbert,6,7,1992,1187,6,0,2010,185000
SawyerW,6,5,1992,1845,8,1,2010,189000
NoRidge,7,5,1992,1923,8,1,2010,190000
NoRidge,8,5,1992,2225,7,1,2010,285000
SawyerW,6,6,1992,996,5,0,2010,147000
Gilbert,6,5,1992,1593,7,1,2009,178000
Gilbert,6,6,1992,1167,6,0,2009,173000
SawyerW,6,6,1992,1730,6,0,2009,171500
ClearCr,7,5,1992,1759,7,1,2009,233500
Mitchel,5,6,1992,883,5,1,2009,149000
Mitchel,5,5,1992,1287,6,0,2009,130000
StoneBr,8,5,1992,1280,5,0,2008,180000
SawyerW,7,5,1992,1737,7,0,2008,175000
Gilbert,7,5,1992,1187,6,0,2007,160000
Gilbert,7,5,1992,1482,7,1,2007,163900
NoRidge,8,5,1992,3228,10,1,2007,430000
NoRidge,8,5,1992,2202,9,1,2007,263000
SawyerW,6,5,1992,1575,5,0,2007,179200
NoRidge,8,5,1992,2872,9,1,2007,285000
ClearCr,6,5,1992,1953,9,2,2007,240000
SawyerW,6,5,1992,1603,7,0,2006,175900
